slug,term,opus_sound,opus_codes,sonnet_sound,sonnet_codes,detector_codes
capital-infusions,capital infusions,True,,True,,
capitalization-rate,capitalization rate,True,,True,SELF,
capitalize,capitalize,True,,True,,
captive-insurer,captive insurer,True,UNDEF,True,,
career-average-pay-formula,career-average-pay,True,,True,MALFORMED,
carrybacks,carrybacks,True,,True,,
carryforwards,carryforwards,True,,True,,
carrying-amount,carrying amount,False,INCONS;STALE,True,,
cash,Cash,True,,True,,
cash-advance-method,cash advance method,True,,True,,
cash-consideration,Cash Consideration,True,,True,INCONS,
cash-equivalents,cash equivalents,True,,True,,
cash-flow-hedge,cash flow hedge,True,,True,,
cash-flows-expected-at-acquisition,Cash Flows Expected at Acquisition,True,,True,POINTER,
cash-surrender-value,cash surrender value,True,,True,INCONS,
cashless-exercise,cashless exercise,True,POINTER,False,POINTER,POINTER
causes,causes,True,SELF,True,,
cease-use-date,Cease-Use Date,True,,True,,
ceding-entity,ceding entity,True,,False,CIRC,CIRC
certificates,certificates,True,,True,INCONS,
change-in-accounting-estimate,change in accounting estimate,True,,True,,
change-in-accounting-estimate-effected-by-a-change-in-accounting-principle,change in accounting estimate effected by a change in accounting principle,True,,True,,
change-in-accounting-principle,change in accounting principle,True,,True,,
change-in-the-reporting-entity,change in the reporting entity,True,,True,,
chapter-11,Chapter 11,True,,True,,
chapter-7,Chapter 7,True,,True,,
charitable-gift-annuity,Charitable gift annuities,True,MALFORMED,True,,
charitable-lead-annuity-trust,Charitable lead annuity trust,True,,True,,
charitable-lead-trust,charitable lead trust,True,,True,,
charitable-lead-unitrust,Charitable lead unitrust,True,,True,,
charitable-remainder-annuity-trust,Charitable remainder annuity trust,True,,True,,
charitable-remainder-trust,charitable remainder trust,True,,True,,
charitable-remainder-unitrust,Charitable remainder unitrust,True,,True,,
charity-care,Charity care,True,,True,,
chips,chips,True,,True,,
claim,claim,True,,True,,
claim-adjustment-expenses,claim adjustment expenses,True,,True,,
claims-stabilization-reserve,claims stabilization reserve,True,MALFORMED,False,SCOPECONF,
class-of-financing-receivable,Class of Financing Receivable,True,,True,,
cleanup-call-option,Cleanup Call Option,True,,True,,
closed-block,closed block,True,,True,,
closed-end-funds,closed-end funds,True,,True,,
closed-form-model,closed-form model,True,,True,,CIRC
closure,closure,True,,True,,
coding,coding,True,,True,,
collaborative-arrangement,collaborative arrangements,True,,True,,
collateral,collateral,True,,True,,
collateral-split-dollar-life-insurance,collateral assignment split-dollar life insurance,True,,True,,
collateralized-financing-entity,Collateralized Financing Entity,True,,True,,
collections,Collections,True,,True,,
combination-award,combination award,True,,True,INCONS,
combined-financial-statements,combined financial statements,True,,True,,
commencement-date-of-the-lease-commencement-date,Commencement Date of the Lease (Commencement Date),True,,True,,
commercial-letter-of-credit,Commercial letters of credit,True,,True,,
commercial-production,commercial production,True,,True,,
commitment-fees,commitment fees,True,,True,,
committed-to-be-released-shares,committed to be released,True,,True,,
common-costs,Common costs,True,,True,,
common-interest-realty-association,common interest realty associations,True,,True,,
common-property,common property,True,,True,,
common-stock,common stock,True,,True,INCONS,
communication-date,communication date,True,,True,,
compensated-absences,compensated absences,True,,True,,
compensation,compensation,True,,True,INCONS,
compensation-plan,compensation plan,False,INCONS,False,HOMONYM,
compliance-environmental-credit,Compliance Environmental Credit,True,,False,PENDING,PENDING
component-of-an-entity,component of an entity,True,,True,,
comprehensive-income,Comprehensive Income,True,CIRC,False,CIRC,CIRC
condensate,Condensate,True,,True,,
condensed-statements,Condensed Statements,True,,True,PENDING,PENDING
conditional-asset-retirement-obligation,conditional asset retirement obligation,True,,True,,
conditional-contribution,Conditional Contribution,True,,True,,
conditional-promise-to-give,Conditional Promise to Give,True,,True,,
condominium,condominium,True,,True,,
conduit-debt-securities,Conduit Debt Security,True,,True,,
confirmed-plan,confirmed plan,False,MALFORMED;STALE,True,,
consent-decree,consent decree,True,,True,,
consenting-classes,consenting classes,True,,True,,
consideration-in-the-contract,Consideration in the Contract,False,POINTER,False,POINTER,POINTER
consolidated-affiliate,Consolidated Affiliate of the Transferor,False,MALFORMED,True,,
consolidated-financial-statements,consolidated financial statements,True,,True,,
consolidated-group,consolidated group,True,,True,,
consolidation,consolidation,True,,True,,
consumer-price-index-for-all-urban-consumers,Consumer Price Index for All Urban Consumers,True,,True,,
contingency,contingencies,True,,True,,
contingent-consideration,Contingent consideration,True,,True,,
contingent-issuance,contingent issuance,True,,True,,
contingent-stock-agreement,contingent stock agreement,True,,False,CIRC,CIRC
contingent-deferred-sales-load,Contingent-Deferred Sales Load,True,,True,,
contingently-convertible-instruments,contingently convertible instruments,True,,True,,
contingently-issuable-shares,contingently issuable shares,True,,False,CIRC,CIRC
continuing-franchise-fees,continuing franchise fees,True,,True,,
continuing-involvement,Continuing Involvement,True,,True,,
contract,Contract,True,,True,,
contract-asset,contract assets,True,,True,,
contract-exchange,contract exchange,True,,True,,
contract-liability,contract liabilities,True,,True,,
contract-period,Contract Period,True,,True,CIRC,CIRC
contract-rate,Contract Rate,True,,True,,
contract-value,Contract Value,True,,True,,
contract-value-of-a-fully-benefit-responsive-investment-contract,Contract Value of a Fully Benefit-Responsive Investment Contract,True,,True,,
contractor,contractors,True,,True,,
contractually-specified-component,contractually specified component,False,PENDING,False,PENDING;STALE,PENDING;STALE
contractually-specified-servicing-fees,Contractually Specified Servicing Fees,True,,True,,
contribution,Contribution,True,,True,,
contributions-receivable,Contributions Receivable,False,INCONS,True,,
contributory-plan,Contributory Plan,True,,True,,
control,control,True,,True,,
control-of-a-not-for-profit-entity,Control of a Not-for-Profit Entity,False,POINTER,False,POINTER,POINTER
controlled-amortization-method,controlled amortization method,True,UNDEF,True,,
conversion,conversion,True,,True,,
conversion-rate,conversion rate,True,CIRC,False,CIRC,CIRC
convertible-security,convertible security,False,CIRC;SELF,False,CIRC,CIRC
cooperative-housing-corporation,Cooperatives,True,MALFORMED,False,MALFORMED,
corporate-joint-venture,Corporate Joint Venture,True,,False,CIRC,CIRC
corrective-action,corrective action,True,,True,,
cost-approach,Cost Approach,True,,True,,
cost-of-insurance,cost of insurance,True,,True,,
cost-recovery-method,cost recovery method,False,INCONS;STALE,True,,
cost-plus-fixed-fee-contract,cost-plus-fixed-fee contracts,True,,True,,
cost-sharing-provisions-of-the-plan,cost-sharing provisions of the plan,True,,True,,
cost-type-contracts,cost-type (including cost-plus) contract,True,STALE,False,DANGLING,
costs-incurred-to-rent-real-estate-projects,costs incurred to rent real estate projects,True,,True,,
costs-incurred-to-sell-real-estate-projects,Costs incurred to sell real estate projects,True,,False,STALE,
costs-of-joint-activities,costs of joint activities,True,,True,,
coverage,coverage,True,,True,,
coverage-period,coverage period,True,POINTER,False,POINTER,CIRC;POINTER
cram-down-provisions,cram-down provisions,False,INCONS,True,,
credit-card-fees,credit card fees,True,,True,,
credit-derivative,credit derivative,True,,True,,
credit-life-insurance,credit life insurance,True,,True,,
credit-quality-indicator,Credit Quality Indicator,True,INCONS,True,,
credit-risk,Credit Risk,False,INCONS;UNDEF,True,,
credited-service-period,credited service period,True,,True,CIRC,CIRC
crop-development-costs,crop development costs,True,,True,,
crops,crops,True,,True,,
cross-volatility,cross-volatility,True,,True,,
currency-risk,Currency Risk,True,,True,,
current-assets,current assets,True,,True,,
current-cost-constant-purchasing-power-accounting,current cost-constant purchasing power,True,MALFORMED,True,,
current-liabilities,current liabilities,True,,True,,
current-shareholders,current shareholders,True,,True,,
current-tax-expense-or-benefit,Current Tax Expense (or Benefit),True,,True,,
plan-curtailment,curtailment,True,,False,HOMONYM,HOMONYM
curtailment,curtailment,True,POINTER,False,DANGLING;HOMONYM;POINTER,DANGLING;HOMONYM;POINTER
curtailment-of-a-postretirement-benefit-plan,curtailment of a defined benefit postretirement plan,True,,True,,
customer,Customer,True,,True,,
customer-support,customer support,True,,True,,
date-of-demutualization,date of demutualization,True,UNDEF,True,,
day-one-bonus,day-one bonuses,True,POINTER,False,POINTER,POINTER
daylight-overdraft,daylight overdraft,True,,True,,
daypart,daypart,True,,True,,
dealer-market,Dealer Market,True,,True,,
debt-security,Debt Security,True,,True,,
debt-equity-swap,Debt-equity swap,False,INCONS,True,,
debtor-in-possession,debtor-in-possession,True,,True,,
decision-maker,Decision Maker,True,,True,,
decision-making-authority,Decision-Making Authority,True,,True,,
deductible-temporary-difference,deductible temporary difference,True,CIRC,False,CIRC;POINTER,CIRC
defensive-intangible-asset,defensive intangible asset,True,,True,,
deferment,deferment,True,,True,,
deferred-acquisition-costs-tax,deferred acquisition costs tax,True,,True,INCONS,
deferred-tax-asset,deferred tax asset,True,CIRC,False,CIRC,CIRC
deferred-tax-consequences,deferred tax consequences,True,CIRC,False,CIRC,CIRC
deferred-tax-expense-or-benefit,Deferred Tax Expense (or Benefit),True,MALFORMED;STALE,True,,
deferred-tax-liability,deferred tax liability,True,,True,,
defined-benefit-plan,Defined Benefit Plan,True,SCOPECONF,True,,
defined-contribution-plan,Defined Contribution Plan,True,HOMONYM,True,,
delayed-equity-investment,Delayed Equity Investment,True,STALE,True,,
demutualization,demutualizations,True,,True,MALFORMED,
dependency-status,dependency status,True,,True,,
deposit-method,deposit method,True,UNDEF,True,,
derecognize,derecognize,True,,True,,
derivative-financial-instrument,Derivative Financial Instrument,True,,True,,
derivative-instrument,derivative instruments,False,POINTER,False,DANGLING;POINTER,DANGLING;POINTER
derived-service-period,derived service period,True,,True,,
detail-program-design,detail program design,True,,True,,
developed-oil-and-gas-reserves,Developed Oil and Gas Reserves,False,POINTER,False,POINTER,POINTER
development-costs,Development Costs,False,POINTER,False,POINTER,POINTER
development-well,development wells,True,,True,,
developmental-costs,Developmental costs,True,,True,,
diluted-earnings-per-share,diluted earnings per share,True,,True,,
dilution,dilution,True,,True,UNDEF,
direct-effects-of-a-change-in-accounting-principle,Direct Effects of a Change in Accounting Principle,True,,True,,
direct-financing-lease,Direct Financing Lease,False,CIRC;HOMONYM,False,CIRC;HOMONYM,CIRC;HOMONYM
direct-financing-leases,direct financing lease,False,HOMONYM;STALE,False,CIRC;HOMONYM;STALE,CIRC;HOMONYM;STALE
direct-guarantee-of-indebtedness,Direct Guarantee of Indebtedness,True,,True,,
direct-loan,direct loan,True,,True,,
direct-loan-origination-costs,direct loan origination costs,True,,True,,
disclosure-statement,disclosure statement,True,,True,,
discount,discount,True,,True,POINTER,
discount-rate,Discount Rate,True,CIRC,True,CIRC,CIRC
discount-rate-adjustment-technique,discount rate adjustment technique,True,CIRC,True,CIRC,CIRC
discount-rate-for-the-lease,Discount Rate for the Lease,False,INCONS,True,,
disposal,disposal,False,INCONS;MALFORMED,True,,
disposal-group,Disposal Group,True,,True,,
distribution-costs,distribution costs,True,,True,,
distribution-form-demutualization,distribution-form demutualization,True,,True,,
distributor,distributor,True,,True,NONAUTH,
dividend-fund-interest-rate,dividend fund interest rate,True,UNDEF,True,,
dividend-scales,dividend scales,True,,True,,
dividend-to-policyholders,Dividend to Policyholders,True,,True,,
dividends,dividends,True,SELF,True,,
dollar-roll-repurchase-agreement,dollar-roll repurchase agreement,True,,True,,
donor-imposed-condition,Donor-Imposed Condition,True,,True,,
donor-imposed-restriction,Donor-Imposed Restriction,True,,True,,
donor-restricted-endowment-fund,Donor-Restricted Endowment Fund,True,CIRC,False,CIRC,CIRC
donor-restricted-support,Donor-Restricted Support,True,,True,,
down-round-feature,Down Round Feature,True,,True,,
downgrade,downgrade,True,,True,,
dropdown,Dropdown,True,,True,,
earnings-or-losses-of-an-investee,earnings or losses of an investee,True,,True,,
earnings-per-share,Earnings Per Share,True,,True,,
earnings-protection-benefit,earnings protection benefit,True,,True,,
economic-interest,Economic Interest,True,,False,DANGLING,DANGLING
economic-interest-in-an-entity,economic interest in the entity,True,,True,MALFORMED,
economic-life,Economic Life,True,,True,,
effective-date-of-the-modification,Effective Date of the Modification,True,,True,,
effective-interest-rate,Effective Interest Rate,False,INCONS,True,,
effective-notional-amount,effective notional amount,True,UNDEF,True,,
electronic-ticket,electronic tickets,True,MALFORMED,True,MALFORMED,
embedded-call-option,embedded call option,True,,True,,
embedded-credit-derivative,Embedded Credit Derivative,True,,False,UNDEF,
embedded-derivative,embedded derivative,True,,True,,
emerging-entity,emerging entity,True,,True,,
employee,employee,False,HOMONYM;UNDEF,True,,
employee-compensation,Employee Compensation,True,,True,PENDING,PENDING
employee-stock-ownership-plan,Employee Stock Ownership Plan,True,,False,NONAUTH,
employer-loan,employer loan,True,,True,,
endeavor,endeavor,True,,True,,
endorsement-split-dollar-life-insurance,endorsement split-dollar life insurance,True,,True,,
endowment-contract,Endowment contracts,True,MALFORMED,True,,
endowment-fund,Endowment Fund,True,,False,CIRC,CIRC
enhanced-12b-1-plan,enhanced 12b-1 plan,True,,False,UNDEF,
enhanced-crediting-rate-bonus,Enhanced-Crediting-Rate Bonus,True,,True,,
entry-price,entry price,True,,True,,
environmental-credit,Environmental Credit,True,CIRC,False,CIRC,CIRC;PENDING
environmental-credit-obligation,Environmental Credit Obligation,True,CIRC,False,CIRC,CIRC;DANGLING;PENDING
equitable-right-of-redemption,equitable right of redemption,True,,True,,
equity-interests,Equity Interests,True,,True,,
equity-kicker,equity kicker,True,POINTER,False,POINTER,CIRC;POINTER
equity-restructuring,Equity Restructuring,True,,True,,
equity-security,Equity Security,True,,True,,
equity-shares,equity shares,True,,False,SELF,
equity-transfer,Equity Transfer,True,,True,,
equity-indexed-annuity,Equity-indexed annuity,True,,True,,
error-in-previously-issued-financial-statements,error in previously issued financial statements,True,,True,,
estimated-current-value,estimated current value,True,,True,,
estimated-residual-value,Estimated Residual Value,True,,True,,
event,event,True,,True,,
excess-costs,excess costs,True,,True,,
exchange,Exchange,True,,True,,
exchange-market,Exchange Market,True,,True,,
exchange-rate,exchange rate,True,,True,,
executive-officers,executive officers,True,POINTER,False,POINTER,DANGLING;POINTER
exempt-and-nonexempt-cooperatives,exempt and nonexempt cooperatives,True,,True,,
exercise-contingency,exercise contingency,True,,True,,
exercise-price,exercise price,False,INCONS,True,,
existing-contract,existing contract,True,,True,,
exit-price,exit price,True,,True,,
expected-cash-flow,Expected Cash Flow,True,,True,,
expected-long-term-rate-of-return-on-plan-assets,Expected Long-Term Rate of Return on Plan Assets,True,,True,,
expected-losses,expected losses,False,CIRC,False,CIRC,CIRC
expected-losses-and-expected-residual-returns,Expected Losses and Expected Residual Returns,False,NONAUTH;PENDING,False,NONAUTH;PENDING,NONAUTH;PENDING
expected-postretirement-benefit-obligation,expected postretirement benefit obligation,True,,True,,
expected-residual-profit,expected residual profit,True,,True,CIRC,CIRC
expected-residual-returns,expected residual returns,False,CIRC,False,CIRC,CIRC
expected-return-on-plan-assets,Expected Return on Plan Assets,True,,False,CIRC,CIRC
expected-variability,expected variability,True,,True,,
expendable-parts,Expendable parts,True,,True,,
expenditures,expenditures,True,,True,,
experience-adjustment,experience adjustments,True,,True,,
explicit-service-period,explicit,True,,True,,
explicit-approach-to-assumptions,explicit approach to assumptions,True,,True,,
exploitation-costs,exploitation costs,True,,True,,
exploration,exploration,True,,True,,
exploration-costs,exploration costs,True,POINTER,False,POINTER,POINTER
exploratory-well,Exploratory Well,True,,True,,
extended-warranty,extended warranty,True,STALE,True,,
face-amount,face amount,True,POINTER,False,POINTER,CIRC;POINTER
fail-to-deliver,fail-to-deliver,True,,True,,
fail-to-receive,fail-to-receive,True,,True,,
fair-value,Fair Value,True,,False,CIRC,CIRC
fair-value-hedge,fair value hedge,True,,True,,
fed-funds-effective-rate-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,True,HOMONYM,False,HOMONYM,HOMONYM
fed-funds-effective-swap-rate-or-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,False,HOMONYM;PENDING;STALE,False,HOMONYM;PENDING;STALE,DANGLING;HOMONYM;PENDING;STALE
federal-home-loan-mortgage-corporation,Federal Home Loan Mortgage Corporation,True,,True,,
federal-national-mortgage-association,Federal National Mortgage Association,True,,True,,
fees,fees,False,POINTER,False,POINTER,POINTER
field,field,True,,True,,
field-and-row-crops,Field and row crops,True,,True,,
film-costs,Film Costs,True,,True,,
film-group,Film Group,True,,True,,
film-prints,film prints,True,,True,,
films,films,True,,True,,
final-pay-formula,final-pay,True,,True,,
finance-lease,Finance Lease,True,,True,,
financial-asset,Financial Asset,True,,True,,
financial-flexibility,financial flexibility,True,,True,,
financial-guarantee-insurance-contract,financial guarantee insurance contracts,True,,True,,
financial-guarantee-reinsurance-contract,financial guarantee reinsurance contracts,False,POINTER,False,POINTER,DANGLING;POINTER
nonregistered-investment-partnerships-financial-highlights,financial highlights,False,MALFORMED,False,CIRC;UNDEF,CIRC;DANGLING
financial-instrument,Financial Instrument,False,NONAUTH;PENDING,False,NONAUTH;PENDING,NONAUTH;PENDING
financial-liability,Financial Liability,True,,True,,
financial-standby-letter-of-credit,financial standby letters of credit,True,,True,,
financial-statements-are-available-to-be-issued,Financial Statements Are Available to Be Issued,True,,True,,
financial-statements-are-issued,Financial Statements Are Issued,True,,True,,
financially-interrelated-entities,financially interrelated entity,True,,True,,
financing-activities,financing activities,True,,True,,
financing-receivable,Financing Receivable,True,,True,,
firm-commitment,firm commitment,True,,True,,
firm-purchase-commitment,Firm Purchase Commitment,True,,True,HOMONYM,
fiscal-funding-clause,Fiscal Funding Clause,True,,True,,
fixed-participation-method,Fixed participation method,True,,True,,
fixed-time,fixed time,True,,True,,
fixed-price-contracts,fixed-price contract,True,STALE,True,CIRC,CIRC
flat-benefit-formula,flat-benefit plans,True,MALFORMED,True,,
floating-participation-method,Floating participation method,True,,True,,
floating-time,floating time,True,,True,,
floor-broker,floor broker,True,,True,,
forecasted-transaction,forecasted transaction,True,,True,,
foreign-activities,foreign activities,True,POINTER,False,POINTER,DANGLING;POINTER
foreign-currency,foreign currency,True,CIRC,False,CIRC,CIRC
foreign-currency-statements,foreign currency statements,True,,True,,
foreign-currency-transactions,foreign currency transactions,True,CIRC,False,CIRC,CIRC
foreign-currency-translation,foreign currency translation,True,,True,,
foreign-entity,foreign entity,True,CIRC,False,CIRC,CIRC
foreign-exchange-risk,foreign exchange risk,True,,True,,
forgivable-loan,Forgivable Loan,True,,False,MALFORMED;PENDING,DANGLING;PENDING
formation-date,Formation Date,True,,True,,
forward-commitment-dollar-roll,forward commitment dollar rolls,True,POINTER,False,DANGLING;POINTER,DANGLING;POINTER
forward-exchange-contract,Forward exchange contracts,True,,True,,
fractional-interest,Fractional Interests,True,,True,,
franchise-agreement,Franchise Agreement,True,,True,,
franchisee,franchisee,True,,True,,
franchisor,Franchisor,True,,True,,
fraternal-benefit-society,fraternal benefit societies,True,,True,,
freestanding-call-option,freestanding call option,True,,True,,
freestanding-contract,Freestanding Contract,True,,True,,
freestanding-financial-instrument,freestanding financial instruments,True,,True,,
front-end-fees,front-end fee,True,POINTER,False,POINTER,POINTER
front-end-load,Front-End Load,True,,True,,
fronting-arrangements,fronting arrangements,True,,True,,
full-eligibility-date,full eligibility date,True,,True,,
full-eligibility-for-benefits,full eligibility for benefits,True,,True,,
fully-benefit-responsive-investment-contract,fully benefit-responsive investment contracts,True,,True,,
fully-eligible-plan-participants,fully eligible plan participants,True,,True,,
fully-insured-experience-rated-arrangement,fully insured experience-rated arrangements,True,,False,DANGLING,DANGLING
fully-insured-pooled-arrangement,fully insured pooled arrangements,True,,True,,
functional-currency,functional currency,True,,True,,
functional-expense-classification,Functional Expense Classification,True,,True,,
fund,fund,True,,True,,
funding-agency,funding agency,True,,True,,
funding-policy,Funding Policy,True,,True,,
fundraising-activities,fundraising activities,True,,True,,
funds-functioning-as-endowment,Funds Functioning as Endowment,True,CIRC,False,CIRC,CIRC
futures-contract,futures contracts,True,,True,,
gain-contingency,gain contingency,True,,True,,
gain-or-loss,Gain or Loss,False,CIRC;HOMONYM,False,CIRC;HOMONYM,CIRC;HOMONYM
gain-or-loss-component-of-net-periodic-pension-cost,Gain or loss,False,CIRC;HOMONYM;MALFORMED,False,CIRC;HOMONYM,CIRC;HOMONYM
gain-or-loss-component-of-net-periodic-postretirement-benefit-cost,gain or loss component of net periodic postretirement benefit cost,True,,True,,
gains-and-losses-included-in-comprehensive-income-but-excluded-from-net-income,Gains and Losses Included in Comprehensive Income but Excluded from Net Income,False,STALE,True,SELF,
general-account,general account,True,,True,,
general-partnership,general partnership,True,,True,,
goodwill,Goodwill,True,,True,,DANGLING
government-grant,Government Grant,True,PENDING,False,MALFORMED;PENDING,DANGLING;PENDING
government-national-mortgage-association,Government National Mortgage Association,True,,True,CIRC,CIRC
government-national-mortgage-association-rolls,Government National Mortgage Association [GNMA] rolls,True,,True,,
grant-date,Grant Date,True,,True,,CIRC
